ID,PLGA,PP-L,PP-COOH,PP-NH2,S/AS,Uptake,Uptake_stdev,PDI,PDI_stdev,Z_ave,Z_ave_stdev,cycle,cycle_type,cycle_origin,pick_for_next_cycle,Uptake_pred,Uptake_pred_stdev,Uptake_pred_5,Uptake_pred_95,PDI_pred,Z_ave_pred
F.u.0.1,0.33,0.67,0,0,0.1,0.696,0.08,0.069,0.008,119,1.18,0,DOE,0,no,0.960744083,0.772298416,-0.249707669,2.234918674,0.086193273,117.8457108
F.u.0.2,0.33,0.33,0.33,0,0.1,0.83,0.14,0.063,0.006,121,1.32,0,DOE,0,no,1.169643978,0.730834186,0.010793239,2.40065066,0.069201566,131.7931875
F.u.0.3,0.33,0.33,0,0.33,0.1,0.743,0.12,0.072,0.009,121,0.58,0,DOE,0,no,1.110672931,0.725984236,-0.081578652,2.310456514,0.101652217,117.0593948
F.u.0.4,0.33,0,0.67,0,0.1,1.122,0.17,0.079,0.017,134.4,0.66,0,DOE,0,no,1.279755513,0.73301365,0.077410887,2.524781307,0.085097363,133.7943827
F.u.0.5,0.33,0,0.33,0.33,0.1,0.987,0.04,0.069,0.011,132.9,0.64,0,DOE,0,no,1.570912123,0.728189866,0.350143333,2.775988181,0.132738998,150.3489126
F.u.0.6,0.33,0,0,0.67,0.1,0.888,0.21,0.057,0.018,145,1.17,0,DOE,0,no,1.194657683,0.718192379,0.024955312,2.387793382,0.095397078,134.0117849
F.u.0.7,0,1,0,0,0.1,0.4,0.03,0.059,0.01,80.2,0.87,0,DOE,0,no,3.226527691,1.086527427,1.456918796,5.054364999,0.087230951,86.57577769
F.u.0.8,0,0.67,0.33,0,0.1,2.368,0.12,0.11,0.014,103.3,0.95,0,DOE,0,no,1.948555072,0.868677934,0.558880587,3.379420439,0.085443273,98.43567149
F.u.0.9,0,0.33,0.67,0,0.1,1.87,0.16,0.134,0.015,111.3,1.04,0,DOE,0,no,1.805666725,0.759657462,0.583440562,3.015444358,0.120752744,117.2721024
F.u.0.10,0,0.33,0.33,0.33,0.1,3.982,0.23,0.142,0.017,105.2,0.47,0,DOE,0,no,2.420682828,0.84016492,1.018510759,3.88547651,0.138480534,103.7519862
F.u.0.11,0,0.33,0,0.67,0.1,4.77,0.11,0.075,0.005,89.04,0.96,0,DOE,0,no,2.933518807,0.921451012,1.334881663,4.441999435,0.107140688,90.40007782
F.u.0.12,0,0,1,0,0.1,2.055,0.34,0.142,0.013,125.3,0.2,0,DOE,0,no,1.988362352,0.815823694,0.676218669,3.344852606,0.087405798,124.7023799
F.u.0.13,0,0,0.67,0.33,0.1,3.615,0.1,0.14,0.014,121.4,0.36,0,DOE,0,no,1.8604635,0.761525909,0.655149321,3.077786843,0.143939108,122.6205292
F.u.0.14,0,0,0,1,0.1,1.673,0.27,0.098,0.035,94.63,0.95,0,DOE,0,no,4.446721872,1.101567547,2.69786795,6.3046182,0.104517778,104.9953308
F.u.0.15,0.25,0.25,0.25,0.25,0.1,1.095,0.14,0.05,0.015,128.2,0.35,0,DOE,0,no,1.527099808,0.737111449,0.297834327,2.768372536,0.087606416,117.5583064
F.u.0.16,0.67,0.33,0,0,0.25,0.575,0.09,0.116,0.012,177.3,2.45,0,DOE,0,no,0.858285969,0.752936463,-0.305573424,2.102863352,0.096539252,184.9898529
F.u.0.17,0.67,0,0.33,0,0.25,3.662,0.71,0.062,0.021,246.4,1.03,0,DOE,0,no,0.482973337,0.670220435,-0.559359491,1.605052789,0.079759305,221.3646088
F.u.0.18,0.67,0,0,0.33,0.25,2.293,0.24,0.233,0.006,260.9,2.68,0,DOE,0,no,,,,,0.121028778,216.4253286
F.u.0.19,0.33,0.33,0.33,0,0.25,1.014,0.19,0.131,0.015,165.3,1.48,0,DOE,0,no,1.315334996,0.711294055,0.168373674,2.46138827,0.098241985,155.5919545
F.u.0.20,0.33,0.33,0,0.33,0.25,0.705,0.03,0.083,0.017,144.7,1.3,0,DOE,0,no,1.396823049,0.755074839,0.158597509,2.630275965,0.116040766,151.970754
F.u.0.21,0.33,0,0.67,0,0.25,2.177,0.37,0.087,0.007,176.7,2.5,0,DOE,0,no,1.413581769,0.746519387,0.167647677,2.660169125,0.110475759,183.5167491
F.u.0.22,0.33,0,0.33,0.33,0.25,1.478,0.56,0.108,0.011,198.1,1.7,0,DOE,0,no,1.492771467,0.762517671,0.254910131,2.720201015,0.131471321,194.8740946
F.u.0.23,0,1,0,0,0.25,3.126,0.45,0.101,0.018,86.76,0.46,0,DOE,0,no,2.083225687,1.079750061,0.341756145,3.904941003,0.086269294,86.85216268
F.u.0.24,0,0.67,0,0.33,0.25,3.598,0.52,0.129,0.006,87.65,0.56,0,DOE,0,no,2.923875729,0.923712552,1.40114965,4.484157721,0.112232131,94.77138011
F.u.0.25,0,0.33,0.67,0,0.25,1.883,0.14,0.134,0.027,141.9,1.56,0,DOE,0,no,2.069192727,0.802564383,0.845240613,3.433283567,0.140510805,128.8811976
