ID,PLGA,PP-L,PP-COOH,PP-NH2,S/AS,Uptake,PDI
F.u.0.1,0.33,0.67,0,0,0.1,0.67,0.069
F.u.0.2,0.33,0.33,0.33,0,0.1,0.95,0.063
F.u.0.3,0.33,0.33,0,0.33,0.1,0.72,0.072
F.u.0.4,0.33,0,0.67,0,0.1,1.65,0.079
F.u.0.5,0.33,0,0.33,0.33,0.1,1.81,0.069
F.u.0.6,0.33,0,0,0.67,0.1,1.05,0.057
F.u.0.7,0,1,0,0,0.1,0.64,0.059
F.u.0.8,0,0.67,0.33,0,0.1,2.18,0.11
F.u.0.9,0,0.33,0.67,0,0.1,2.16,0.134
F.u.0.10,0,0.33,0.33,0.33,0.1,4.48,0.142
F.u.0.11,0,0.33,0,0.67,0.1,5.88,0.075
F.u.0.12,0,0,1,0,0.1,2.53,0.142
F.u.0.13,0,0,0.67,0.33,0.1,4.56,0.14
F.u.0.14,0,0,0,1,0.1,1.79,0.098
F.u.0.15,0.25,0.25,0.25,0.25,0.1,1.38,0.05
F.u.0.16,0.67,0.33,0,0,0.25,1.41,0.116
F.u.0.17,0.67,0,0.33,0,0.25,10.77,0.062
F.u.0.18,0.67,0,0,0.33,0.25,11.27,0.233
F.u.0.19,0.33,0.33,0.33,0,0.25,1.69,0.131
F.u.0.20,0.33,0.33,0,0.33,0.25,1.93,0.083
F.u.0.21,0.33,0,0.67,0,0.25,3.74,0.087
F.u.0.22,0.33,0,0.33,0.33,0.25,3.33,0.108
F.u.0.23,0,1,0,0,0.25,7.04,0.101
F.u.0.24,0,0.67,0,0.33,0.25,9.11,0.129
F.u.0.25,0,0.33,0.67,0,0.25,4.92,0.134
F.u.0.26,0,0.33,0.33,0.33,0.25,8.66,0.163
F.u.0.27,0,0.33,0,0.67,0.25,9.52,0.131
F.u.0.28,0,0,1,0,0.25,3.69,0.171
F.u.0.29,0,0,0.67,0.33,0.25,9.37,0.146
F.u.0.30,0,0,0,1,0.25,9.6,0.139
