score,hypers
0.0437081537688981,{'max_depth': 10, 'min_child_weight': 20, 'gamma': 5.784841828468452, 'learning_rate': 0.1484202721832785, 'n_estimators': 462, 'eta': 0.20070792933112985, 'max_delta_step': 2, 'subsample': 0.9665129300521135, 'colsample_bytree': 0.9466850738398327, 'reg_alpha': 0.35759976996105786, 'reg_lambda': 9.434328426525745, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.09751019327691358,{'max_depth': 15, 'min_child_weight': 2, 'gamma': 9.496406068134478, 'learning_rate': 0.006883439180167533, 'n_estimators': 294, 'eta': 0.2616550282028324, 'max_delta_step': 1, 'subsample': 0.9314369794129491, 'colsample_bytree': 0.6495360105072515, 'reg_alpha': 4.200460318435865, 'reg_lambda': 2.7873375945936334, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.2505328930467022,{'max_depth': 3, 'min_child_weight': 19, 'gamma': 4.917249942300536, 'learning_rate': 0.0027242526947852015, 'n_estimators': 283, 'eta': 0.3171871290566579, 'max_delta_step': 7, 'subsample': 0.6314543903534418, 'colsample_bytree': 0.6461552348709632, 'reg_alpha': 8.112783498213368, 'reg_lambda': 5.629599868051854, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.2802400851374122,{'max_depth': 13, 'min_child_weight': 1, 'gamma': 9.351271144513401, 'learning_rate': 0.0015288191407884788, 'n_estimators': 297, 'eta': 0.6053816163677692, 'max_delta_step': 10, 'subsample': 0.5235142448213128, 'colsample_bytree': 0.6959468217230079, 'reg_alpha': 3.7791313317305053, 'reg_lambda': 4.493356938611443, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043641874031808706,{'max_depth': 9, 'min_child_weight': 14, 'gamma': 7.590053354839323, 'learning_rate': 0.06608294837545191, 'n_estimators': 416, 'eta': 0.7246921941804767, 'max_delta_step': 1, 'subsample': 0.3131115254402871, 'colsample_bytree': 0.3179181145225359, 'reg_alpha': 0.2831653633680476, 'reg_lambda': 0.5791357800588627, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.11272055441330271,{'max_depth': 11, 'min_child_weight': 19, 'gamma': 5.049842430768079, 'learning_rate': 0.028500160635203345, 'n_estimators': 57, 'eta': 0.7476598023035823, 'max_delta_step': 2, 'subsample': 0.8087874931871738, 'colsample_bytree': 0.25300229454690465, 'reg_alpha': 2.43383472155898, 'reg_lambda': 6.653359385247279, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04707103276839584,{'max_depth': 16, 'min_child_weight': 17, 'gamma': 0.36210588690828943, 'learning_rate': 0.07937928113101375, 'n_estimators': 72, 'eta': 0.6592249500369846, 'max_delta_step': 10, 'subsample': 0.4642701126978278, 'colsample_bytree': 0.9227577023817507, 'reg_alpha': 0.8595714302034153, 'reg_lambda': 6.241676673885931, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.17321049802566207,{'max_depth': 18, 'min_child_weight': 2, 'gamma': 6.767977207319197, 'learning_rate': 0.020231578860758524, 'n_estimators': 330, 'eta': 0.16488479042930443, 'max_delta_step': 3, 'subsample': 0.4318385035203216, 'colsample_bytree': 0.325881748336847, 'reg_alpha': 8.878353138003739, 'reg_lambda': 6.9944719901775665, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04371078347395332,{'max_depth': 9, 'min_child_weight': 15, 'gamma': 9.575196441813233, 'learning_rate': 0.03461426544105085, 'n_estimators': 421, 'eta': 0.20126657145718604, 'max_delta_step': 0, 'subsample': 0.8840472544317525, 'colsample_bytree': 0.8430734060760091, 'reg_alpha': 0.037362226866226596, 'reg_lambda': 8.656324302972822, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.254475965477923,{'max_depth': 12, 'min_child_weight': 19, 'gamma': 2.46077639160837, 'learning_rate': 0.00728244116962284, 'n_estimators': 92, 'eta': 0.9766495156941403, 'max_delta_step': 6, 'subsample': 0.5629856901427682, 'colsample_bytree': 0.43192173661884803, 'reg_alpha': 4.972518569449578, 'reg_lambda': 9.634134042352349, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04406686737027817,{'max_depth': 5, 'min_child_weight': 19, 'gamma': 1.6946433598373003, 'learning_rate': 1.0, 'n_estimators': 214, 'eta': 0.6740826152457144, 'max_delta_step': 10, 'subsample': 0.5599098007269244, 'colsample_bytree': 0.475540547169797, 'reg_alpha': 0.0, 'reg_lambda': 1.3837685983757486, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.03970378156964478,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 0.5650892615921156, 'n_estimators': 50, 'eta': 1.0, 'max_delta_step': 0, 'subsample': 0.4221407514606117, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.07602980965308534,{'max_depth': 4, 'min_child_weight': 9, 'gamma': 9.912241457651813, 'learning_rate': 0.2598090320612627, 'n_estimators': 373, 'eta': 0.14056454271408036, 'max_delta_step': 10, 'subsample': 0.6457956572807033, 'colsample_bytree': 0.8244276419628188, 'reg_alpha': 5.54136662085594, 'reg_lambda': 9.42580294638819, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04373298469542111,{'max_depth': 13, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 0.06120694814630262, 'n_estimators': 500, 'eta': 0.6296100762445799, 'max_delta_step': 0, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04333349420536859,{'max_depth': 7, 'min_child_weight': 11, 'gamma': 0.1694803703173507, 'learning_rate': 1.0, 'n_estimators': 216, 'eta': 0.9627838706449232, 'max_delta_step': 5, 'subsample': 0.1, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 5.5800933728701825, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.3858040951147635,{'max_depth': 16, 'min_child_weight': 17, 'gamma': 3.666674221576443, 'learning_rate': 0.001, 'n_estimators': 208, 'eta': 0.5198188098526094, 'max_delta_step': 0, 'subsample': 0.1, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04362365674501817,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 0.20011520785134565, 'n_estimators': 500, 'eta': 0.1, 'max_delta_step': 10, 'subsample': 0.28452388526567085, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04233872309006348,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 0.13175987997013186, 'n_estimators': 500, 'eta': 0.1, 'max_delta_step': 10, 'subsample': 0.49692482733092724, 'colsample_bytree': 0.6509536332867987, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04374010186414691,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 4.373185329858361, 'learning_rate': 0.1794214692300168, 'n_estimators': 500, 'eta': 0.9004411667435359, 'max_delta_step': 0, 'subsample': 0.19151975684453998, 'colsample_bytree': 0.35572998896480523, 'reg_alpha': 0.0, 'reg_lambda': 0.38601599875453696, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.047125323706876054,{'max_depth': 19, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 0.045089177000171524, 'n_estimators': 67, 'eta': 0.1, 'max_delta_step': 2, 'subsample': 1.0, 'colsample_bytree': 0.5835321695800835, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.09677558510687494,{'max_depth': 20, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 1.0, 'n_estimators': 50, 'eta': 0.30228226351815035, 'max_delta_step': 0, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 10.0, 'reg_lambda': 0.13750578388914733, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04361798410172273,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 10.0, 'learning_rate': 0.10269513923249425, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 2, 'subsample': 0.47247952572492957, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 2.0180123376536527, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.24624369510912375,{'max_depth': 10, 'min_child_weight': 20, 'gamma': 10.0, 'learning_rate': 0.07285514089815252, 'n_estimators': 500, 'eta': 0.1, 'max_delta_step': 0, 'subsample': 0.1, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04383288939838652,{'max_depth': 18, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 0.6053198680622682, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 10, 'subsample': 0.29861925687903984, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 6.7336186785258505, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.044112884104692274,{'max_depth': 20, 'min_child_weight': 1, 'gamma': 0.0, 'learning_rate': 0.26120514020773866, 'n_estimators': 97, 'eta': 0.1, 'max_delta_step': 10, 'subsample': 0.3354550839246612, 'colsample_bytree': 0.5175184108084412, 'reg_alpha': 0.0, 'reg_lambda': 8.003044344622484, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.039507192849386676,{'max_depth': 6, 'min_child_weight': 10, 'gamma': 0.0, 'learning_rate': 0.15752259956713469, 'n_estimators': 86, 'eta': 1.0, 'max_delta_step': 7, 'subsample': 0.3119729767165709, 'colsample_bytree': 0.14249970472938261, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04366900457865118,{'max_depth': 7, 'min_child_weight': 1, 'gamma': 10.0, 'learning_rate': 0.2975430265946892, 'n_estimators': 500, 'eta': 0.4411412621691523, 'max_delta_step': 0, 'subsample': 0.3971728511778213, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04529052158189449,{'max_depth': 2, 'min_child_weight': 13, 'gamma': 0.0, 'learning_rate': 1.0, 'n_estimators': 50, 'eta': 1.0, 'max_delta_step': 0, 'subsample': 0.18868282581599, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.3415347464428159,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.0, 'learning_rate': 0.4442067913402973, 'n_estimators': 50, 'eta': 1.0, 'max_delta_step': 4, 'subsample': 0.2015164535290206, 'colsample_bytree': 0.1, 'reg_alpha': 10.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04385773629650252,{'max_depth': 20, 'min_child_weight': 19, 'gamma': 10.0, 'learning_rate': 1.0, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 8, 'subsample': 0.8468397924806272, 'colsample_bytree': 0.96311330621387, 'reg_alpha': 0.0, 'reg_lambda': 1.3388677754126368, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04401905640961969,{'max_depth': 20, 'min_child_weight': 9, 'gamma': 10.0, 'learning_rate': 1.0, 'n_estimators': 500, 'eta': 0.1, 'max_delta_step': 3, 'subsample': 0.7842419294417404, 'colsample_bytree': 0.26921828600725295, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.24980197127438916,{'max_depth': 2, 'min_child_weight': 16, 'gamma': 6.1591707606651145, 'learning_rate': 0.001, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 0, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043724006282964856,{'max_depth': 20, 'min_child_weight': 9, 'gamma': 10.0, 'learning_rate': 0.15017288087510058, 'n_estimators': 500, 'eta': 0.1, 'max_delta_step': 8, 'subsample': 0.7343904050773957, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
