score,hypers
0.04867579444272603,{'max_depth': 16, 'min_child_weight': 9, 'gamma': 2.5815365296995703, 'learning_rate': 0.018072658413205517, 'n_estimators': 467, 'eta': 0.8056866990494896, 'max_delta_step': 2, 'subsample': 0.5827585967646592, 'colsample_bytree': 0.31508955156977153, 'reg_alpha': 7.510507808288506, 'reg_lambda': 5.814446201231319, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
1.5312887830414597,{'max_depth': 11, 'min_child_weight': 13, 'gamma': 4.860572936763084, 'learning_rate': 0.0011404431146243015, 'n_estimators': 200, 'eta': 0.37961365323890595, 'max_delta_step': 5, 'subsample': 0.5037657484221506, 'colsample_bytree': 0.7076864890548138, 'reg_alpha': 0.7372984837643527, 'reg_lambda': 3.7911340711950547, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04461929490355228,{'max_depth': 18, 'min_child_weight': 3, 'gamma': 5.053848881632393, 'learning_rate': 0.06150182016697278, 'n_estimators': 484, 'eta': 0.5330664255290414, 'max_delta_step': 9, 'subsample': 0.7139889818535771, 'colsample_bytree': 0.3615679763444317, 'reg_alpha': 6.203341608151849, 'reg_lambda': 1.5970426795270278, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.2366818845752941,{'max_depth': 14, 'min_child_weight': 11, 'gamma': 9.133546748436665, 'learning_rate': 0.003980538229704615, 'n_estimators': 280, 'eta': 0.2284156427339812, 'max_delta_step': 3, 'subsample': 0.7408301500570564, 'colsample_bytree': 0.32972635377365844, 'reg_alpha': 0.20062487764514916, 'reg_lambda': 5.679227381489451, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.39796987629450403,{'max_depth': 14, 'min_child_weight': 6, 'gamma': 6.686187969681379, 'learning_rate': 0.004122141603019218, 'n_estimators': 218, 'eta': 0.17963479234574287, 'max_delta_step': 4, 'subsample': 0.5191265805252505, 'colsample_bytree': 0.43243590616783967, 'reg_alpha': 6.461995342384405, 'reg_lambda': 2.908108790298543, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.12786977160618052,{'max_depth': 7, 'min_child_weight': 10, 'gamma': 1.6763959973772837, 'learning_rate': 0.0646571040080431, 'n_estimators': 348, 'eta': 0.8119878293949875, 'max_delta_step': 8, 'subsample': 0.17183450190782767, 'colsample_bytree': 0.1059289193016157, 'reg_alpha': 9.268582902579045, 'reg_lambda': 5.816489338556013, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.17796907164379897,{'max_depth': 13, 'min_child_weight': 20, 'gamma': 8.201305957670602, 'learning_rate': 0.0029815342022862625, 'n_estimators': 426, 'eta': 0.47387986002059124, 'max_delta_step': 8, 'subsample': 0.902536178854672, 'colsample_bytree': 0.37227006879067315, 'reg_alpha': 0.647029411470358, 'reg_lambda': 3.589387227729765, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.12065611063670278,{'max_depth': 5, 'min_child_weight': 19, 'gamma': 8.758110909160218, 'learning_rate': 0.004109661082584285, 'n_estimators': 404, 'eta': 0.20121211529316224, 'max_delta_step': 6, 'subsample': 0.9126031836526287, 'colsample_bytree': 0.37067581271989236, 'reg_alpha': 6.135049208722814, 'reg_lambda': 1.5285210040252108, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.05002316891923777,{'max_depth': 15, 'min_child_weight': 10, 'gamma': 0.8175833088546126, 'learning_rate': 0.47332073326090934, 'n_estimators': 194, 'eta': 0.5884062131246626, 'max_delta_step': 7, 'subsample': 0.567678776888982, 'colsample_bytree': 0.7697116297012615, 'reg_alpha': 9.992706681163622, 'reg_lambda': 9.846451507490947, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04831491127676678,{'max_depth': 16, 'min_child_weight': 7, 'gamma': 3.5143702310963136, 'learning_rate': 0.026996579927952086, 'n_estimators': 125, 'eta': 0.9101949088718296, 'max_delta_step': 3, 'subsample': 0.9381444019247092, 'colsample_bytree': 0.4070140099913334, 'reg_alpha': 5.692970176056091, 'reg_lambda': 1.6407760424764308, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.046511069800229524,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 1.0, 'n_estimators': 242, 'eta': 1.0, 'max_delta_step': 0, 'subsample': 1.0, 'colsample_bytree': 0.4941596542395936, 'reg_alpha': 10.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04670049790358195,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 7.987151551802087, 'learning_rate': 0.04748335031191627, 'n_estimators': 500, 'eta': 0.1, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 0.3593741005454001, 'reg_alpha': 10.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.06058702445530852,{'max_depth': 2, 'min_child_weight': 20, 'gamma': 7.457777720916735, 'learning_rate': 0.0056578980320657665, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 4, 'subsample': 1.0, 'colsample_bytree': 0.2443883577463398, 'reg_alpha': 10.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.1745951715713692,{'max_depth': 17, 'min_child_weight': 13, 'gamma': 0.0, 'learning_rate': 1.0, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 1, 'subsample': 0.1, 'colsample_bytree': 0.5749201266670801, 'reg_alpha': 10.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.047320825816589654,{'max_depth': 20, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 1.0, 'n_estimators': 50, 'eta': 1.0, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_alpha': 10.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.0465852280804807,{'max_depth': 20, 'min_child_weight': 20, 'gamma': 0.0, 'learning_rate': 1.0, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 0.2987158213840187, 'reg_alpha': 10.0, 'reg_lambda': 10.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.4982796662208644,{'max_depth': 12, 'min_child_weight': 17, 'gamma': 3.9831746968569046, 'learning_rate': 0.001434888157274509, 'n_estimators': 482, 'eta': 0.39115651186747613, 'max_delta_step': 9, 'subsample': 1.0, 'colsample_bytree': 0.4775795438766488, 'reg_alpha': 2.777584333114466, 'reg_lambda': 3.439250733361189, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04411562111440528,{'max_depth': 5, 'min_child_weight': 19, 'gamma': 0.0, 'learning_rate': 0.020871216145176456, 'n_estimators': 500, 'eta': 1.0, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 0.31264751041682637, 'reg_alpha': 7.696228172292486, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.0500337017113421,{'max_depth': 2, 'min_child_weight': 1, 'gamma': 0.0, 'learning_rate': 1.0, 'n_estimators': 50, 'eta': 1.0, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 0.1, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04432459752227794,{'max_depth': 4, 'min_child_weight': 4, 'gamma': 1.9883997130582012, 'learning_rate': 0.2696922260192816, 'n_estimators': 319, 'eta': 0.9561971497582918, 'max_delta_step': 4, 'subsample': 0.8649862314695766, 'colsample_bytree': 0.8424123486271522, 'reg_alpha': 0.41288625240967836, 'reg_lambda': 2.108836279713426, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.043960251181872086,{'max_depth': 17, 'min_child_weight': 17, 'gamma': 0.8182766723150328, 'learning_rate': 0.014222243715048117, 'n_estimators': 500, 'eta': 0.5632278498006057, 'max_delta_step': 8, 'subsample': 0.7862008776979821, 'colsample_bytree': 0.1, 'reg_alpha': 1.8333901700241209, 'reg_lambda': 9.924041653924036, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
0.04088063593317254,{'max_depth': 2, 'min_child_weight': 9, 'gamma': 0.0, 'learning_rate': 0.187417464262635, 'n_estimators': 50, 'eta': 0.4342560684910223, 'max_delta_step': 10, 'subsample': 1.0, 'colsample_bytree': 0.4557318187826376, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
