score,hypers
45.47599262274293,{'max_depth': 17, 'min_child_weight': 14, 'gamma': 7.19910306203121, 'n_estimators': 100, 'eta': 0.711110208960909, 'subsample': 0.9420179730363092, 'colsample_bytree': 0.9821262240813468, 'reg_alpha': 9.211596132649321, 'reg_lambda': 7.180666899884757, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
41.36078459273527,{'max_depth': 7, 'min_child_weight': 20, 'gamma': 6.39639896136236, 'n_estimators': 352, 'eta': 0.74875454117866, 'subsample': 0.5810112631512897, 'colsample_bytree': 0.6748179123243274, 'reg_alpha': 1.8208071092080116, 'reg_lambda': 3.502867101220972, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
47.51933539946784,{'max_depth': 3, 'min_child_weight': 12, 'gamma': 5.3388695600390035, 'n_estimators': 163, 'eta': 0.2585419594628866, 'subsample': 0.43738261071960605, 'colsample_bytree': 0.8321780518095333, 'reg_alpha': 6.793289836097331, 'reg_lambda': 5.967108578820285, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
42.34683999689242,{'max_depth': 9, 'min_child_weight': 16, 'gamma': 7.774260737514669, 'n_estimators': 275, 'eta': 0.3633550123801397, 'subsample': 0.7542900156587836, 'colsample_bytree': 0.9661626239373822, 'reg_alpha': 3.894228659442968, 'reg_lambda': 5.184297488558595, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
44.32573290777935,{'max_depth': 16, 'min_child_weight': 16, 'gamma': 7.354127215241575, 'n_estimators': 144, 'eta': 0.2923224573864895, 'subsample': 0.8193998311206475, 'colsample_bytree': 0.5156868633593631, 'reg_alpha': 6.903891041532631, 'reg_lambda': 8.598445733526729, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
57.801779179367564,{'max_depth': 14, 'min_child_weight': 13, 'gamma': 4.918888577358431, 'n_estimators': 226, 'eta': 0.31577502661410073, 'subsample': 0.24648047078821145, 'colsample_bytree': 0.5903796360759729, 'reg_alpha': 8.191058266947888, 'reg_lambda': 0.7771319122803578, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
45.911126666798275,{'max_depth': 14, 'min_child_weight': 5, 'gamma': 2.9757497685480856, 'n_estimators': 108, 'eta': 0.46654836127455324, 'subsample': 0.5951089327195286, 'colsample_bytree': 0.3981581637570806, 'reg_alpha': 7.426377862127447, 'reg_lambda': 4.700637945998834, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
42.067684011834785,{'max_depth': 14, 'min_child_weight': 5, 'gamma': 3.9878560847578335, 'n_estimators': 277, 'eta': 0.9990650443995364, 'subsample': 0.9638057171472542, 'colsample_bytree': 0.4355906899696702, 'reg_alpha': 3.0596599475195467, 'reg_lambda': 0.1874000344220739, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
50.73190952467202,{'max_depth': 8, 'min_child_weight': 4, 'gamma': 2.6222191535238966, 'n_estimators': 98, 'eta': 0.7301219338448044, 'subsample': 0.2883901395398352, 'colsample_bytree': 0.9597385777186289, 'reg_alpha': 6.672780176492374, 'reg_lambda': 0.7715988879769587, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
45.04797290650703,{'max_depth': 15, 'min_child_weight': 9, 'gamma': 7.102572793211898, 'n_estimators': 444, 'eta': 0.8512738263940054, 'subsample': 0.42470097477932645, 'colsample_bytree': 0.7419670564482764, 'reg_alpha': 5.82405240697539, 'reg_lambda': 9.867678398610224, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
14.522825156564474,{'max_depth': 16, 'min_child_weight': 1, 'gamma': 0.0, 'n_estimators': 500, 'eta': 1.0, 'subsample': 0.16642422341380325, 'colsample_bytree': 1.0, 'reg_alpha': 0.0, 'reg_lambda': 9.991705404131544, 'objective': 'reg:squarederror', 'eval_metric': 'rmse'}
