score,hypers
2.4405305079891293,{'lr': 0.001, 'hidden_size': 32, 'epochs': 5000, 'n_layers': 3}
2.7706091821144936,{'lr': 0.0001, 'hidden_size': 64, 'epochs': 10000, 'n_layers': 4}
4.544639628635256,{'lr': 1e-05, 'hidden_size': 16, 'epochs': 5000, 'n_layers': 5}
3.5161031666247524,{'lr': 0.0001, 'hidden_size': 32, 'epochs': 5000, 'n_layers': 5}
2.42857028120008,{'lr': 0.001, 'hidden_size': 64, 'epochs': 20000, 'n_layers': 2}
2.5121697167298893,{'lr': 0.001, 'hidden_size': 64, 'epochs': 5000, 'n_layers': 4}
2.485031284468129,{'lr': 0.001, 'hidden_size': 32, 'epochs': 5000, 'n_layers': 2}
2.6625453073289798,{'lr': 0.001, 'hidden_size': 32, 'epochs': 20000, 'n_layers': 5}
2.431060532824489,{'lr': 0.001, 'hidden_size': 16, 'epochs': 5000, 'n_layers': 3}
2.4713266428421066,{'lr': 0.001, 'hidden_size': 16, 'epochs': 10000, 'n_layers': 2}
2.7115602371556613,{'lr': 0.0001, 'hidden_size': 64, 'epochs': 20000, 'n_layers': 2}
2.322091782925039,{'lr': 0.001, 'hidden_size': 16, 'epochs': 20000, 'n_layers': 3}
3.6003291941325806,{'lr': 1e-05, 'hidden_size': 64, 'epochs': 20000, 'n_layers': 2}
2.4601415494882533,{'lr': 0.001, 'hidden_size': 16, 'epochs': 20000, 'n_layers': 2}
2.5472121244720416,{'lr': 0.001, 'hidden_size': 16, 'epochs': 5000, 'n_layers': 2}
